2024-07-14 22:30:52.093 [info] Added views:workbench.panel.markers.view in workbench.panel.markers
2024-07-14 22:30:52.093 [info] Added views:workbench.panel.output in workbench.panel.output
2024-07-14 22:30:52.093 [info] Added views:terminal in terminal
2024-07-14 22:30:52.093 [info] Added views:outline in workbench.view.explorer
2024-07-14 22:30:52.093 [info] Added views:workbench.scm in workbench.view.scm
2024-07-14 22:30:52.093 [info] Added views:workbench.view.search in workbench.view.search
2024-07-14 22:30:52.093 [info] Added views:timeline in workbench.view.explorer
2024-07-14 22:30:52.093 [info] Added views:workbench.explorer.fileView in workbench.view.explorer
2024-07-14 22:30:52.202 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.breakPointsView in workbench.view.debug
2024-07-14 22:30:52.614 [info] Added views:platformio-ide.quickAccess in workbench.view.extension.platformio
2024-07-14 22:30:52.614 [info] Added views:platformio-debug.peripherals,platformio-debug.registers,platformio-debug.memory,platformio-debug.disassembly in workbench.view.debug
2024-07-14 22:30:52.697 [info] Added views:workbench.panel.repl.view in workbench.panel.repl
2024-07-14 22:30:53.295 [info] Added views:workbench.view.testing in workbench.view.extension.test
2024-07-14 22:30:53.324 [info] Added views:~remote.forwardedPorts in ~remote.forwardedPortsContainer
2024-07-14 22:31:29.371 [info] Added views:javaProjectExplorer in workbench.view.explorer
2024-07-14 22:31:30.694 [info] Added views:platformio-ide.projectTasks in workbench.view.extension.platformio
2024-07-14 22:31:33.653 [info] Added views:workbench.debug.loadedScriptsView in workbench.view.debug
2024-07-14 22:31:35.209 [info] Added views:jsBrowserBreakpoints in workbench.view.debug
2024-07-14 22:32:02.391 [info] Removed views:workbench.debug.loadedScriptsView from workbench.view.debug
2024-07-14 22:36:08.856 [info] Removed views:jsBrowserBreakpoints from workbench.view.debug
2024-07-14 22:36:08.863 [info] Added views:workbench.debug.loadedScriptsView in workbench.view.debug
2024-07-14 22:36:10.360 [info] Added views:jsBrowserBreakpoints in workbench.view.debug
2024-07-14 22:36:18.072 [info] Removed views:workbench.debug.loadedScriptsView from workbench.view.debug
2024-07-14 22:38:59.842 [info] Removed views:jsBrowserBreakpoints from workbench.view.debug
2024-07-14 22:38:59.850 [info] Added views:workbench.debug.loadedScriptsView in workbench.view.debug
2024-07-14 22:39:01.381 [info] Added views:jsBrowserBreakpoints in workbench.view.debug
2024-07-14 22:40:41.270 [info] Removed views:workbench.debug.loadedScriptsView from workbench.view.debug
2024-07-14 22:41:23.872 [info] Removed views:jsBrowserBreakpoints from workbench.view.debug
2024-07-14 22:41:23.880 [info] Added views:workbench.debug.loadedScriptsView in workbench.view.debug
2024-07-14 22:41:25.421 [info] Added views:jsBrowserBreakpoints in workbench.view.debug
2024-07-14 22:59:21.867 [info] Removed views:workbench.debug.loadedScriptsView from workbench.view.debug
2024-07-14 23:02:02.537 [info] Removed views:jsBrowserBreakpoints from workbench.view.debug
2024-07-14 23:02:02.543 [info] Added views:workbench.debug.loadedScriptsView in workbench.view.debug
2024-07-14 23:02:04.071 [info] Added views:jsBrowserBreakpoints in workbench.view.debug
2024-07-14 23:03:24.194 [info] Removed views:workbench.debug.loadedScriptsView from workbench.view.debug
2024-07-14 23:03:35.819 [info] Removed views:jsBrowserBreakpoints from workbench.view.debug
2024-07-14 23:03:35.826 [info] Added views:workbench.debug.loadedScriptsView in workbench.view.debug
2024-07-14 23:03:37.343 [info] Added views:jsBrowserBreakpoints in workbench.view.debug
2024-07-14 23:03:43.061 [info] Removed views:workbench.debug.loadedScriptsView from workbench.view.debug
2024-07-14 23:08:13.138 [info] Removed views:jsBrowserBreakpoints from workbench.view.debug
2024-07-14 23:08:13.145 [info] Added views:workbench.debug.loadedScriptsView in workbench.view.debug
2024-07-14 23:08:14.672 [info] Added views:jsBrowserBreakpoints in workbench.view.debug
2024-07-14 23:08:24.481 [info] Removed views:workbench.debug.loadedScriptsView from workbench.view.debug
2024-07-14 23:19:56.848 [info] Removed views:jsBrowserBreakpoints from workbench.view.debug
2024-07-14 23:19:56.856 [info] Added views:workbench.debug.loadedScriptsView in workbench.view.debug
2024-07-14 23:19:58.367 [info] Added views:jsBrowserBreakpoints in workbench.view.debug
